rebalance_date,symbol,target_weight,rank,momentum_score
2023-11-03,510300.SH,0.25,4,-0.14285835759706333
2023-11-10,512880.SH,0.25,1,0.0008734400555515003
2023-11-10,512010.SH,0.25,2,1.32962735190694e-08
2023-11-10,159928.SZ,0.25,3,-0.09189446213454205
2023-11-10,510300.SH,0.25,4,-0.18046034973814282
2023-11-17,512010.SH,0.25,1,0.0004938101849798576
2023-11-17,512880.SH,0.25,2,-9.002040422541294e-08
2023-11-17,159928.SZ,0.25,3,-0.11985989236607758
2023-11-17,510500.SH,0.25,4,-0.1946356495492179
2023-11-24,512010.SH,0.25,1,0.0028870456208934547
2023-11-24,512880.SH,0.25,2,-0.0025408808347277528
2023-11-24,159928.SZ,0.25,3,-0.14457472418365977
2023-11-24,588000.SH,0.25,4,-0.17040056551878305
2023-12-01,512010.SH,0.25,1,0.008137411890280607
2023-12-01,512880.SH,0.25,2,-0.03446287194078222
2023-12-01,588000.SH,0.25,3,-0.14245652867264233
2023-12-01,512660.SH,0.25,4,-0.14973335976411709
2023-12-08,512010.SH,0.25,1,0.009238770512672077
2023-12-08,512880.SH,0.25,2,-0.11457529228556707
2023-12-08,588000.SH,0.25,3,-0.12970393337768843
2023-12-08,512660.SH,0.25,4,-0.1353930893504642
2023-12-15,512010.SH,0.25,1,0.010913440851128114
2023-12-15,588000.SH,0.25,2,-0.09421927769241864
2023-12-15,512880.SH,0.25,3,-0.1077845607583157
2023-12-15,510500.SH,0.25,4,-0.10838128271313316
2023-12-22,512010.SH,0.25,1,0.0014505614266167594
2023-12-22,588000.SH,0.25,2,-0.07538544220524826
2023-12-22,512880.SH,0.25,3,-0.09308298811387561
2023-12-22,510500.SH,0.25,4,-0.09867904067100097
2023-12-29,512010.SH,0.25,1,9.498864900785261e-06
2023-12-29,588000.SH,0.25,2,-0.07613142172788585
2023-12-29,512880.SH,0.25,3,-0.08928677187762239
2023-12-29,510500.SH,0.25,4,-0.09548699864079321
2024-01-05,512010.SH,0.25,1,-0.0011582739166821451
2024-01-05,588000.SH,0.25,2,-0.09732534915421699
2024-01-05,512880.SH,0.25,3,-0.09766699916825018
2024-01-05,510500.SH,0.25,4,-0.1047101976858281
2024-01-12,512010.SH,0.25,1,-0.01821643376167686
2024-01-12,512880.SH,0.25,2,-0.11083569103277395
2024-01-12,510500.SH,0.25,3,-0.13806287077418655
2024-01-12,588000.SH,0.25,4,-0.14182615078450778
2024-01-19,512010.SH,0.25,1,-0.059278784395760134
2024-01-19,512880.SH,0.25,2,-0.14493729436863192
2024-01-19,588000.SH,0.25,3,-0.15272105136812628
2024-01-19,510500.SH,0.25,4,-0.15472455921996225
2024-01-26,512010.SH,0.25,1,-0.14238150898483248
2024-01-26,512880.SH,0.25,2,-0.16084909634892952
2024-01-26,510500.SH,0.25,3,-0.17959917263033348
2024-01-26,588000.SH,0.25,4,-0.19273731196349958
2024-02-02,512880.SH,0.25,1,-0.19146263098194718
2024-02-02,510500.SH,0.25,2,-0.21738466362181755
2024-02-02,512010.SH,0.25,3,-0.2366714768592759
2024-02-02,512660.SH,0.25,4,-0.26007913711000036
