date,symbol,quantity,close,market_value,avg_cost,weight
2023-07-31,510300.SH,88900,3.804,338175.6,3.8230565729999997,0.34030989751459284
2023-07-31,512880.SH,331200,1.013,335505.6,1.0268209539,0.33762304658163383
2023-08-01,510300.SH,88900,3.786,336575.4,3.8230565729999997,0.33947253645746495
2023-08-01,512880.SH,331200,1.011,334843.19999999995,1.0268209539,0.3377254262181199
2023-08-02,510300.SH,88900,3.757,333997.3,3.8230565729999997,0.3369605068646158
2023-08-02,512880.SH,331200,1.018,337161.6,1.0268209539,0.34015288037144265
2023-08-03,510300.SH,88900,3.793,337197.7,3.8230565729999997,0.3350767743495592
2023-08-03,512880.SH,331200,1.054,349084.8,1.0268209539,0.3468891061785445
2023-08-04,510300.SH,88900,3.814,339064.6,3.8230565729999997,0.3353166415855228
2023-08-04,512880.SH,331200,1.063,352065.6,1.0268209539,0.34817393089633075
2023-08-07,510300.SH,87000,3.783,329121.0,3.8230565729999997,0.3268530099067903
2023-08-07,512880.SH,317500,1.066,338455.0,1.0268209539,0.33612268882266005
2023-08-07,510500.SH,55100,5.96,328396.0,5.9987960991,0.32613300591986016
2023-08-08,510300.SH,87000,3.768,327816.0,3.8230565729999997,0.3270786768031969
2023-08-08,512880.SH,317500,1.059,336232.5,1.0268209539,0.33547624642552804
2023-08-08,510500.SH,55100,5.939,327238.9,5.9987960991,0.326502874815548
2023-08-09,510300.SH,87000,3.76,327120.0,3.8230565729999997,0.32799276624470064
2023-08-09,512880.SH,317500,1.053,334327.5,1.0268209539,0.3352194960768988
2023-08-09,510500.SH,55100,5.897,324924.7,5.9987960991,0.3257916091166223
2023-08-10,510300.SH,87000,3.765,327555.0,3.8230565729999997,0.32614235722883
2023-08-10,512880.SH,317500,1.074,340995.0,1.0268209539,0.3395243946917155
2023-08-10,510500.SH,55100,5.895,324814.5,5.9987960991,0.32341367615241345
2023-08-11,510300.SH,87000,3.67,319290.0,3.8230565729999997,0.3276527571331919
2023-08-11,512880.SH,317500,1.027,326072.5,1.0268209539,0.33461290253472614
2023-08-11,510500.SH,55100,5.774,318147.4,5.9987960991,0.3264802304637053
2023-08-14,512880.SH,325100,1.017,330626.69999999995,1.0263613523938788,0.3423524820768602
2023-08-15,512880.SH,325100,1.036,336803.60000000003,1.0263613523938788,0.34653204075757077
2023-08-16,512880.SH,325100,1.038,337453.8,1.0263613523938788,0.3469689060040583
2023-08-17,512880.SH,325100,1.038,337453.8,1.0263613523938788,0.3469689060040583
2023-08-18,512880.SH,325100,1.021,331927.1,1.0263613523938788,0.34323682623683854
2023-08-21,512880.SH,324100,0.985,319238.5,1.0263613523938788,0.33415319989561193
2023-08-22,512880.SH,324100,1.004,325396.4,1.0263613523938788,0.3384174926112862
2023-08-23,512880.SH,324100,0.977,316645.7,1.0263613523938788,0.3323412176127848
2023-08-24,512880.SH,324100,0.992,321507.2,1.0263613523938788,0.3357306355667044
2023-08-25,512880.SH,324100,0.998,323451.8,1.0263613523938788,0.3370767865653636
2023-08-28,512880.SH,307000,1.023,314061.0,1.0263613523938788,0.3241254300595627
2023-08-29,512880.SH,307000,1.016,311912.0,1.0263613523938788,0.3226230981363929
2023-08-30,512880.SH,307000,0.987,303009.0,1.0263613523938788,0.31632734110053323
2023-08-31,512880.SH,307000,0.968,297176.0,1.0263613523938788,0.312138691213774
2023-09-01,512880.SH,307000,0.969,297483.0,1.0263613523938788,0.3123604256319249
2023-09-04,512880.SH,333000,0.976,325008.0,1.022255787926789,0.34047306177497816
2023-09-05,512880.SH,333000,0.967,322011.0,1.022255787926789,0.33839588409955607
2023-09-06,512880.SH,333000,0.964,321012.0,1.022255787926789,0.33770058090163135
2023-09-07,512880.SH,333000,0.959,319347.0,1.022255787926789,0.33653848890109206
2023-09-08,512880.SH,333000,0.964,321012.0,1.022255787926789,0.33770058090163135
2023-09-11,512880.SH,335000,0.979,327965.0,1.0219257951630472,0.34320295056652833
2023-09-12,512880.SH,335000,0.968,324280.0,1.0219257951630472,0.34066039666439185
2023-09-13,512880.SH,335000,0.957,320595.0,1.0219257951630472,0.3380980810933959
2023-09-14,512880.SH,335000,0.961,321935.0,1.0219257951630472,0.33903213320385844
2023-09-15,512880.SH,335000,0.957,320595.0,1.0219257951630472,0.3380980810933959
2023-09-25,512880.SH,331700,0.95,315115.0,0.9697753453499999,0.3354405303391141
2023-09-26,512880.SH,331700,0.952,315778.39999999997,0.9697753453499999,0.33590950479785886
2023-09-27,512880.SH,331700,0.953,316110.1,0.9697753453499999,0.33614374390105545
2023-09-28,512880.SH,331700,0.947,314119.89999999997,0.9697753453499999,0.33473582538896524
2023-10-09,512880.SH,331700,0.935,310139.5,0.9697753453499999,0.3319019964131931
2023-10-10,512880.SH,331700,0.932,309144.4,0.9697753453499999,0.33118976287440094
2023-10-11,512880.SH,331700,0.93,308481.0,0.9697753453499999,0.33071409626548887
2023-10-12,512880.SH,331700,0.941,312129.7,0.9697753453499999,0.3333219223059305
2023-10-13,512880.SH,331700,0.931,308812.7,0.9697753453499999,0.3309520141149622
2023-11-20,512100.SH,131200,2.437,319734.39999999997,2.41693236225,0.34247079604789055
2023-11-20,512880.SH,323600,0.975,315510.0,0.9797833468499999,0.337945997869075
2023-11-21,512100.SH,131200,2.419,317372.8,2.41693236225,0.3410403520875928
2023-11-21,512880.SH,323600,0.973,314862.8,0.9797833468499999,0.3383431729854774
2023-11-22,512100.SH,131200,2.392,313830.39999999997,2.41693236225,0.33958922733292113
2023-11-22,512880.SH,323600,0.964,311950.39999999997,0.9797833468499999,0.3375549191607814
2023-11-23,512100.SH,131200,2.416,316979.2,2.41693236225,0.3414742763355739
2023-11-23,512880.SH,323600,0.967,312921.2,0.9797833468499999,0.33710268787371345
2023-11-24,512100.SH,131200,2.381,312387.19999999995,2.41693236225,0.33938946681748267
2023-11-24,512880.SH,323600,0.957,309685.2,0.9797833468499999,0.33645391011304404
2023-11-27,512100.SH,131000,2.382,312042.0,2.41693236225,0.33965586739539355
2023-11-28,512100.SH,131000,2.391,313221.0,2.41693236225,0.3405022236520842
2023-11-29,512100.SH,131000,2.384,312304.0,2.41693236225,0.3398441342410699
2023-11-30,512100.SH,131000,2.368,310208.0,2.41693236225,0.338334986767381
2023-12-01,512100.SH,131000,2.391,313221.0,2.41693236225,0.3405022236520842
2023-12-04,512100.SH,130700,2.38,311066.0,2.41693236225,0.33869095640427743
2023-12-05,512100.SH,130700,2.336,305315.19999999995,2.41693236225,0.3345240698974961
2023-12-06,512100.SH,130700,2.346,306622.2,2.41693236225,0.3354756939360677
2023-12-07,512100.SH,130700,2.344,306360.8,2.41693236225,0.3352855869207249
2023-12-08,512100.SH,130700,2.339,305707.3,2.41693236225,0.33480984316614315
2024-02-26,510300.SH,94800,3.232,306393.60000000003,3.26761248975,0.33747889315866847
2024-02-27,510300.SH,94800,3.273,310280.4,3.26761248975,0.3403031457366632
2024-02-28,510300.SH,94800,3.237,306867.60000000003,3.26761248975,0.3378246082240977
2024-02-29,510300.SH,94800,3.292,312081.6,3.26761248975,0.34160379702943044
2024-03-01,510300.SH,94800,3.319,314641.2,3.26761248975,0.34344329311963634
2024-03-04,510300.SH,93800,3.316,311040.8,3.26761248975,0.33962158310432644
2024-03-05,510300.SH,93800,3.345,313761.0,3.26761248975,0.34157719927564306
2024-03-06,510300.SH,93800,3.331,312447.8,3.26761248975,0.34063455687831895
2024-03-07,510300.SH,93800,3.312,310665.6,3.26761248975,0.3393509308935589
2024-03-08,510300.SH,93800,3.322,311603.60000000003,3.26761248975,0.3400271458766846
2024-03-11,510300.SH,91000,3.37,306670.0,3.26761248975,0.32878983247311094
2024-03-11,510500.SH,58200,5.296,308227.2,5.1961543788,0.33045935191461856
2024-03-11,515790.SH,336500,0.917,308570.5,0.8987185347,0.330827413836189
2024-03-12,510300.SH,91000,3.375,307125.0,3.26761248975,0.33047103010619533
2024-03-12,510500.SH,58200,5.265,306423.0,5.1961543788,0.3297156677516669
2024-03-12,515790.SH,336500,0.911,306551.5,0.8987185347,0.32985393564704707
2024-03-13,510300.SH,91000,3.354,305214.0,3.26761248975,0.33033598923869845
2024-03-13,510500.SH,58200,5.257,305957.39999999997,5.1961543788,0.3311405780662097
2024-03-13,515790.SH,336500,0.902,303523.0,0.8987185347,0.3285058039988253
2024-03-14,510300.SH,91000,3.341,304031.0,3.26761248975,0.33140845713383793
2024-03-14,510500.SH,58200,5.234,304618.8,5.1961543788,0.3320491874906215
2024-03-14,515790.SH,336500,0.89,299485.0,0.8987185347,0.3264530978246542
2024-03-15,510300.SH,91000,3.35,304850.0,3.26761248975,0.3311587082111852
2024-03-15,510500.SH,58200,5.309,308983.8,5.1961543788,0.33564925722874595
2024-03-15,515790.SH,336500,0.884,297466.0,0.8987185347,0.3231374653001424
2024-03-18,510300.SH,90700,3.381,306656.69999999995,3.26761248975,0.32867891616995465
2024-03-18,515790.SH,342400,0.9,308160.0,0.8985560938275408,0.3302901740184814
2024-03-18,159949.SZ,375400,0.822,308578.8,0.8106481215,0.33073904968332735
2024-03-19,510300.SH,90700,3.358,304570.60000000003,3.26761248975,0.3303409312085272
2024-03-19,515790.SH,342400,0.886,303366.4,0.8985560938275408,0.3290348414238884
2024-03-19,159949.SZ,375400,0.811,304449.4,0.8106481215,0.3302094762326941
2024-03-20,510300.SH,90700,3.361,304842.7,3.26761248975,0.3305503322773033
2024-03-20,515790.SH,342400,0.887,303708.8,0.8985560938275408,0.3293208095701194
2024-03-20,159949.SZ,375400,0.81,304074.0,0.8106481215,0.32971680718248697
2024-03-21,510300.SH,90700,3.359,304661.3,3.26761248975,0.3325656960820095
2024-03-21,515790.SH,342400,0.874,299257.6,0.8985560938275408,0.32666706290504094
2024-03-21,159949.SZ,375400,0.806,302572.4,0.8106481215,0.3302854705248228
2024-03-22,510300.SH,90700,3.328,301849.6,3.26761248975,0.33545975473497985
2024-03-22,515790.SH,342400,0.85,291040.0,0.8985560938275408,0.3234465343603853
2024-03-22,159949.SZ,375400,0.792,297316.8,0.8106481215,0.3304222394417255
2024-03-25,510300.SH,89000,3.309,294501.0,3.26761248975,0.33087922240975065
2024-03-25,515790.SH,349000,0.842,293858.0,0.8976034430560171,0.33015679586447755
2024-03-25,159949.SZ,375200,0.778,291905.60000000003,0.8106481215,0.3279632257447402
2024-03-26,510300.SH,89000,3.32,295480.0,3.26761248975,0.3296389379105274
2024-03-26,515790.SH,349000,0.853,297697.0,0.8976034430560171,0.3321122339892726
2024-03-26,159949.SZ,375200,0.782,293406.4,0.8106481215,0.3273256195754412
2024-03-27,510300.SH,89000,3.282,292098.0,3.26761248975,0.33328743130735033
2024-03-27,515790.SH,349000,0.827,288623.0,0.8976034430560171,0.329322413320945
2024-03-27,159949.SZ,375200,0.762,285902.4,0.8106481215,0.3262181750666099
2024-03-28,510300.SH,89000,3.299,293611.0,3.26761248975,0.33278932642818354
2024-03-28,515790.SH,349000,0.833,290717.0,0.8976034430560171,0.32950916216089393
2024-03-28,159949.SZ,375200,0.768,288153.60000000003,0.8106481215,0.32660371189041365
2024-03-29,510300.SH,89000,3.315,295035.0,3.26761248975,0.33317693280012733
2024-03-29,515790.SH,349000,0.835,291415.0,0.8976034430560171,0.32908894155591406
2024-03-29,159949.SZ,375200,0.771,289279.2,0.8106481215,0.32667702672182825
2024-04-01,510300.SH,91000,3.373,306943.0,3.2690531932719784,0.3429375565958831
