trade_date,signal_date,symbol,side,quantity,price,gross_amount,commission,stamp_duty,net_amount,realized_pnl
2023-07-31,2023-07-28,510300.SH,BUY,88900,3.8219099999999995,339767.79899999994,101.93033969999998,0.0,339869.72933969996,0.0
2023-07-31,2023-07-28,512880.SH,BUY,331200,1.026513,339981.1056,101.99433167999999,0.0,340083.09993168,0.0
2023-08-07,2023-08-04,510300.SH,SELL,1900,3.794102,7208.7938,5.0,0.0,7203.7938,-60.013688699998966
2023-08-07,2023-08-04,512880.SH,SELL,13700,1.0404795,14254.56915,5.0,0.0,14249.56915,182.12208156999986
2023-08-07,2023-08-04,510500.SH,BUY,55100,5.9969969999999995,330434.53469999996,99.13036040999998,0.0,330533.66506041,0.0
2023-08-14,2023-08-11,510300.SH,SELL,87000,3.6371805,316434.7035,94.93041104999999,0.0,316339.77308895,-16266.148762049968
2023-08-14,2023-08-11,510500.SH,SELL,55100,5.7271350000000005,315565.1385,94.66954154999999,0.0,315470.46895845,-15063.19610195997
2023-08-14,2023-08-11,512880.SH,BUY,7600,1.006503,7649.422799999999,5.0,0.0,7654.422799999999,0.0
2023-08-21,2023-08-18,512880.SH,SELL,1000,1.009495,1009.495,5.0,0.0,1004.495,-21.866352393878856
2023-08-28,2023-08-25,512880.SH,SELL,17100,1.0974510000000002,18766.4121,5.6299236299999995,0.0,18760.78217637,1210.0030504346723
2023-09-04,2023-09-01,512880.SH,BUY,26000,0.9734864999999999,25310.648999999998,7.593194699999999,0.0,25318.242194699997,0.0
2023-09-11,2023-09-08,512880.SH,BUY,2000,0.964482,1928.964,5.0,0.0,1933.964,0.0
2023-09-18,2023-09-15,512880.SH,SELL,335000,0.9505245,318425.7075,95.52771225,0.0,318330.17978775,-24014.961591870815
2023-09-25,2023-09-22,512880.SH,BUY,331700,0.9694845,321578.00865,96.47340259499998,0.0,321674.48205259495,0.0
2023-10-16,2023-10-13,512880.SH,SELL,331700,0.9295350000000001,308326.75950000004,92.49802785,0.0,308234.26147215004,-13440.220580444904
2023-11-20,2023-11-17,512100.SH,BUY,131200,2.4162075,317006.424,95.10192719999999,0.0,317101.5259272,0.0
2023-11-20,2023-11-17,512880.SH,BUY,323600,0.9794894999999999,316962.8022,95.08884065999999,0.0,317057.89104066,0.0
2023-11-27,2023-11-24,512100.SH,SELL,200,2.3818085,476.3617,5.0,0.0,471.3617,-12.02477245
2023-11-27,2023-11-24,512880.SH,SELL,323600,0.951524,307913.1664,92.37394991999999,0.0,307820.79245008,-9237.09859057999
2023-12-04,2023-12-01,512100.SH,SELL,300,2.388805,716.6415000000001,5.0,0.0,711.6415000000001,-13.438208674999942
2023-12-11,2023-12-08,512100.SH,SELL,130700,2.3258365000000003,303986.83055,91.19604916499999,0.0,303895.63450083503,-11997.425245239923
2024-02-26,2024-02-23,510300.SH,BUY,94800,3.2666325,309676.761,92.90302829999999,0.0,309769.6640283,0.0
2024-03-04,2024-03-01,510300.SH,SELL,1000,3.3133425,3313.3425,5.0,0.0,3308.3425,40.730010250000305
2024-03-11,2024-03-08,510300.SH,SELL,2800,3.31834,9291.352,5.0,0.0,9286.352,137.03702870000052
2024-03-11,2024-03-08,510500.SH,BUY,58200,5.194596,302325.4872,90.69764615999999,0.0,302416.18484616,0.0
2024-03-11,2024-03-08,515790.SH,BUY,336500,0.8984489999999999,302328.08849999995,90.69842654999998,0.0,302418.78692655,0.0
2024-03-18,2024-03-15,510300.SH,SELL,300,3.3483250000000004,1004.4975000000002,5.0,0.0,999.4975000000002,19.213753075000227
2024-03-18,2024-03-15,510500.SH,SELL,58200,5.309344,309003.82080000004,92.70114624,0.0,308911.11965376005,6494.934807600046
2024-03-18,2024-03-15,159949.SZ,BUY,375400,0.810405,304226.037,91.26781109999999,0.0,304317.3048111,0.0
2024-03-18,2024-03-15,515790.SH,BUY,5900,0.888444,5241.8196,5.0,0.0,5246.8196,0.0
2024-03-25,2024-03-22,159949.SZ,SELL,200,0.787606,157.5212,5.0,0.0,152.5212,-9.608424299999996
2024-03-25,2024-03-22,510300.SH,SELL,1700,3.3173405000000002,5639.47885,5.0,0.0,5634.47885,79.53761742500046
2024-03-25,2024-03-22,515790.SH,BUY,6600,0.8474234999999999,5592.995099999999,5.0,0.0,5597.995099999999,0.0
2024-04-01,2024-03-29,159949.SZ,SELL,375200,0.7786105000000001,292134.6596,87.64039788,0.0,292047.01920212,-12108.155984679994
2024-04-01,2024-03-29,515790.SH,SELL,349000,0.83958,293013.42,87.90402599999999,0.0,292925.515974,-20338.085652549984
2024-04-01,2024-03-29,510300.SH,BUY,2000,3.3306645,6661.329000000001,5.0,0.0,6666.329000000001,0.0
2024-04-15,2024-04-12,510300.SH,BUY,1300,3.2566274999999996,4233.615749999999,5.0,0.0,4238.615749999999,0.0
2024-04-22,2024-04-19,510300.SH,SELL,1200,3.3173405000000002,3980.8086000000003,5.0,0.0,3975.8086000000003,53.08977437378144
2024-04-29,2024-04-26,510300.SH,SELL,3500,3.3643170000000002,11775.1095,5.0,0.0,11770.1095,328.84625859019434
2024-04-29,2024-04-26,159949.SZ,BUY,377700,0.7813905,295131.19185,88.539357555,0.0,295219.731207555,0.0
2024-04-29,2024-04-26,510500.SH,BUY,56400,5.2316145,295063.0578,88.51891734,0.0,295151.57671734004,0.0
2024-05-13,2024-05-10,510300.SH,SELL,100,3.4242870000000005,342.42870000000005,5.0,0.0,337.42870000000005,10.535464531148477
2024-05-13,2024-05-10,510500.SH,SELL,400,5.343327,2137.3308,5.0,0.0,2132.3308,39.05720625999993
2024-05-13,2024-05-10,159949.SZ,BUY,1900,0.790395,1501.7504999999999,5.0,0.0,1506.7504999999999,0.0
2024-05-20,2024-05-17,510300.SH,SELL,600,3.4692645000000004,2081.5587,5.0,0.0,2076.5587,115.19928718689061
2024-05-20,2024-05-17,159949.SZ,BUY,500,0.794397,397.1985,5.0,0.0,402.1985,0.0
2024-05-20,2024-05-17,510500.SH,BUY,300,5.3566769999999995,1607.0031,5.0,0.0,1612.0031,0.0
2024-05-27,2024-05-24,159949.SZ,SELL,380100,0.7766115000000001,295190.03115000005,88.55700934500001,0.0,295101.4741406551,-2027.206066899933
2024-05-27,2024-05-24,510500.SH,SELL,56300,5.189404000000001,292163.4452,87.64903355999999,0.0,292075.79616644,-2594.5100571600487
2024-05-27,2024-05-24,510300.SH,BUY,2400,3.3956969999999997,8149.672799999999,5.0,0.0,8154.672799999999,0.0
2024-06-03,2024-05-31,510300.SH,BUY,400,3.3706845,1348.2738,5.0,0.0,1353.2738,0.0
2024-06-11,2024-06-07,510300.SH,SELL,89700,3.3543220000000002,300882.68340000004,90.26480502,0.0,300792.41859498003,7214.2503725480055
2024-07-22,2024-07-19,510300.SH,BUY,89200,3.3856919999999997,302003.7264,90.60111792,0.0,302094.32751792,0.0
2024-07-29,2024-07-26,510300.SH,SELL,89200,3.2573705,290557.4486,87.16723458,0.0,290470.28136542,-11624.04615249997
2024-09-30,2024-09-27,159915.SZ,BUY,144600,2.001,289344.6,86.80337999999999,0.0,289431.40338,0.0
2024-09-30,2024-09-27,159949.SZ,BUY,321700,0.8994495,289352.90415,86.80587124499999,0.0,289439.710021245,0.0
2024-09-30,2024-09-27,512880.SH,BUY,262900,1.1005500000000001,289334.59500000003,86.80037850000001,0.0,289421.39537850005,0.0
2024-10-14,2024-10-11,159915.SZ,SELL,300,2.076961,623.0883,5.0,0.0,618.0883,17.6082100000001
2024-10-14,2024-10-11,159949.SZ,SELL,4300,0.9445275,4061.46825,5.0,0.0,4056.46825,187.67511014499996
2024-10-14,2024-10-11,512880.SH,BUY,3300,1.1275635,3720.9595499999996,5.0,0.0,3725.9595499999996,0.0
2024-10-21,2024-10-18,159915.SZ,SELL,1000,2.1609190000000003,2160.9190000000003,5.0,0.0,2155.9190000000003,154.3187000000005
2024-10-21,2024-10-18,159949.SZ,SELL,3400,0.9865065000000001,3354.1221,5.0,0.0,3349.1221,290.07636150999997
2024-10-21,2024-10-18,512880.SH,BUY,4500,1.1455724999999999,5155.076249999999,5.0,0.0,5160.076249999999,0.0
2024-10-28,2024-10-25,159915.SZ,SELL,600,2.1919035,1315.1421,5.0,0.0,1310.1421,109.18192000000022
2024-10-28,2024-10-25,159949.SZ,SELL,1400,1.0004994999999999,1400.6992999999998,5.0,0.0,1395.6992999999998,136.09223120999968
2024-10-28,2024-10-25,512880.SH,BUY,2400,1.1465729999999998,2751.7751999999996,5.0,0.0,2756.7751999999996,0.0
2024-11-04,2024-11-01,512880.SH,SELL,11400,1.1584205,13205.9937,5.0,0.0,13200.9937,633.6851950021974
2024-11-04,2024-11-01,159915.SZ,BUY,3000,2.0820404999999997,6246.121499999999,5.0,0.0,6251.121499999999,0.0
2024-11-04,2024-11-01,159949.SZ,BUY,7400,0.9484739999999999,7018.7076,5.0,0.0,7023.7076,0.0
