date,symbol,close,ma60,r20,r60,r120,volatility_20,avg_turnover,listed_days,score,rank,eligible,hold_signal,buy_signal,passed_listing,passed_liquidity,passed_trend,passed_score,primary_candidate,secondary_candidate,market_regime_on,risk_off,regime_signal,510300_sh_strong,510300_sh_weak,512100_sh_strong,512100_sh_weak
2023-01-06,159915.SZ,2.35,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-06,510300.SH,3.701,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-06,510500.SH,5.8,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-06,512100.SH,2.517,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-06,512880.SH,0.884,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-06,516160.SH,3.351,,,,,,,4,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,159915.SZ,2.417,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,510300.SH,3.8,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,510500.SH,5.844,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,512100.SH,2.53,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,512880.SH,0.918,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-13,516160.SH,3.381,,,,,,,9,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,159915.SZ,2.507,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,510300.SH,3.901,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,510500.SH,6.037,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,512100.SH,2.619,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,512880.SH,0.969,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-01-20,516160.SH,3.497,,,,,,,14,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,159915.SZ,2.5,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,510300.SH,3.857,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,510500.SH,6.117,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,512100.SH,2.684,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,512880.SH,0.953,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-03,516160.SH,3.494,,,,,,,19,0.0,,False,False,False,False,False,False,False,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-10,159915.SZ,2.465,,0.04893617021276575,,,0.010414118655247285,955131303.6215999,24,0.0195744680851063,,False,False,False,False,True,False,True,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-10,510300.SH,3.823,,0.03296406376654959,,,0.008643622805013762,2995797591.15,24,0.013185625506619836,,False,False,False,False,True,False,True,False,False,False,True,confirmed_risk_off,False,True,False,True
2023-02-10,510500.SH,6.116,,0.05448275862068952,,,0.006052577785420747,2003894435.25,24,0.02179310344827581,,False,False,False,False,True,False,True,False,False,False,True,confirmed_risk_off,False,True,False,True
