date,symbol,quantity,close,market_value,avg_cost,weight
2023-07-10,510880.SH,44500,2.55,113474.99999999999,2.5460355816,0.11345907844736715
2023-07-10,512100.SH,44300,2.548,112876.40000000001,2.5560435831,0.1128605624362758
2023-07-10,512660.SH,102700,1.106,113586.20000000001,1.1028817653,0.1135702628450173
2023-07-11,510880.SH,44500,2.548,113386.0,2.5460355816,0.11320511762639092
2023-07-11,512100.SH,44300,2.569,113806.7,2.5560435831,0.11362514649225992
2023-07-11,512660.SH,102700,1.112,114202.40000000001,1.1028817653,0.11402021524011913
2023-07-12,510880.SH,44500,2.53,112584.99999999999,2.5460355816,0.11291704062122156
2023-07-12,512100.SH,44300,2.531,112123.3,2.5560435831,0.11245397895532631
2023-07-12,512660.SH,102700,1.092,112148.40000000001,1.1028817653,0.11247915298134749
2023-07-13,510880.SH,44500,2.561,113964.5,2.5460355816,0.11393426998066118
2023-07-13,512100.SH,44300,2.556,113230.8,2.5560435831,0.11320076460061029
2023-07-13,512660.SH,102700,1.099,112867.3,1.1028817653,0.11283736102196983
2023-07-14,510880.SH,44500,2.576,114632.0,2.5460355816,0.11459917551960781
2023-07-14,512100.SH,44300,2.553,113097.9,2.5560435831,0.11306551480388592
2023-07-14,512660.SH,102700,1.094,112353.8,1.1028817653,0.11232162787437114
2023-07-17,510880.SH,44100,2.559,112851.90000000001,2.5460355816,0.11298446385504193
2023-07-17,512660.SH,103400,1.099,113636.59999999999,1.1028736962892651,0.1137700856193813
2023-07-17,510300.SH,30800,3.644,112235.2,3.6689333499,0.11236703943543176
2023-07-18,510880.SH,44100,2.552,112543.2,2.5460355816,0.11271942473414528
2023-07-18,512660.SH,103400,1.1,113740.00000000001,1.1028736962892651,0.11391809873241286
2023-07-18,510300.SH,30800,3.638,112050.4,3.6689333499,0.11222585308779982
2023-07-19,510880.SH,44100,2.571,113381.1,2.5460355816,0.11357618899916903
2023-07-19,512660.SH,103400,1.091,112809.4,1.1028736962892651,0.11300350530452481
2023-07-19,510300.SH,30800,3.636,111988.8,3.6689333499,0.1121814933405139
2023-07-20,510880.SH,44100,2.562,112984.2,2.5460355816,0.11356889729018663
2023-07-20,512660.SH,103400,1.07,110638.0,1.1028736962892651,0.1112105556209777
2023-07-20,510300.SH,30800,3.608,111126.40000000001,3.6689333499,0.11170148310850718
2023-07-21,510880.SH,44100,2.562,112984.2,2.5460355816,0.11359728371940635
2023-07-21,512660.SH,103400,1.067,110327.79999999999,1.1028736962892651,0.11092646935357262
2023-07-21,510300.SH,30800,3.61,111188.0,3.6689333499,0.11179133703821732
2023-07-24,510880.SH,44000,2.56,112640.0,2.5460355816,0.11350223584212932
2023-07-24,159928.SZ,118500,0.938,111153.0,0.9497593423499999,0.11200385316548474
2023-07-24,512880.SH,125700,0.898,112878.6,0.8957161342499999,0.11374266227565145
2023-07-25,510880.SH,44000,2.602,114488.0,2.5460355816,0.11399377337409258
2023-07-25,159928.SZ,118500,0.969,114826.5,0.9497593423499999,0.11433081212301938
2023-07-25,512880.SH,125700,0.949,119289.29999999999,0.8957161342499999,0.11877434691980068
2023-07-26,510880.SH,44000,2.609,114796.0,2.5460355816,0.11432179797368724
2023-07-26,159928.SZ,118500,0.968,114708.0,0.9497593423499999,0.1142341614861643
2023-07-26,512880.SH,125700,0.946,118912.2,0.8957161342499999,0.1184209946775732
2023-07-27,510880.SH,44000,2.618,115192.0,2.5460355816,0.11473330107124699
2023-07-27,159928.SZ,118500,0.974,115419.0,0.9497593423499999,0.1149593971486063
2023-07-27,512880.SH,125700,0.936,117655.20000000001,0.8957161342499999,0.11718669251508594
2023-07-28,510880.SH,44000,2.67,117480.0,2.5460355816,0.11532128267885251
2023-07-28,159928.SZ,118500,0.993,117670.5,0.9497593423499999,0.1155082822051576
2023-07-28,512880.SH,125700,1.017,127836.9,0.8957161342499999,0.12548787267354614
2023-07-31,510880.SH,43000,2.69,115670.0,2.5460355816,0.11345535586976384
2023-07-31,512880.SH,112700,1.013,114165.09999999999,0.8957161342499999,0.11197926902746758
2023-07-31,510300.SH,30200,3.804,114880.79999999999,3.8230565729999997,0.11268126607247483
2023-08-01,510880.SH,43000,2.694,115842.0,2.5460355816,0.11369063651080613
2023-08-01,512880.SH,112700,1.011,113939.69999999998,0.8957161342499999,0.11182366513743112
2023-08-01,510300.SH,30200,3.786,114337.2,3.8230565729999997,0.11221378295318919
2023-08-02,510880.SH,43000,2.655,114164.99999999999,2.5460355816,0.1122390827246172
2023-08-02,512880.SH,112700,1.018,114728.6,0.8957161342499999,0.1127931750210618
2023-08-02,510300.SH,30200,3.757,113461.40000000001,3.8230565729999997,0.11154735217142632
2023-08-03,510880.SH,43000,2.671,114852.99999999999,2.5460355816,0.11227170936441525
2023-08-03,512880.SH,112700,1.054,118785.8,0.8957161342499999,0.11611612073014688
2023-08-03,510300.SH,30200,3.793,114548.6,3.8230565729999997,0.1119741506734753
2023-08-04,510880.SH,43000,2.66,114380.0,2.5460355816,0.11168100939326668
2023-08-04,512880.SH,112700,1.063,119800.09999999999,0.8957161342499999,0.11697321291671871
2023-08-04,510300.SH,30200,3.814,115182.8,3.8230565729999997,0.11246486596208041
2023-08-07,510880.SH,43500,2.632,114492.0,2.5474297473287355,0.11199552646491259
2023-08-07,512880.SH,111000,1.066,118326.0,0.8957161342499999,0.11574592691617971
2023-08-07,510300.SH,30400,3.783,115003.2,3.8230555297565787,0.11249557985841487
2023-08-08,510880.SH,43500,2.627,114274.49999999999,2.5474297473287355,0.11194159982515968
2023-08-08,512880.SH,111000,1.059,117549.0,0.8957161342499999,0.1151492513014513
2023-08-08,510300.SH,30400,3.768,114547.2,3.8230555297565787,0.11220873268745461
2023-08-09,510880.SH,43500,2.617,113839.5,2.5474297473287355,0.11166251284051107
2023-08-09,512880.SH,111000,1.053,116883.0,0.8957161342499999,0.11464781107030034
2023-08-09,510300.SH,30400,3.76,114304.0,3.8230555297565787,0.1121181300666445
2023-08-10,510880.SH,43500,2.638,114753.0,2.5474297473287355,0.11218479470871325
2023-08-10,512880.SH,111000,1.074,119214.00000000001,0.8957161342499999,0.1165459562399636
2023-08-10,510300.SH,30400,3.765,114456.0,3.8230555297565787,0.11189444165451433
2023-08-11,510880.SH,43500,2.596,112926.0,2.5474297473287355,0.11148113397798325
2023-08-11,512880.SH,111000,1.027,113996.99999999999,0.8957161342499999,0.11253843074303663
2023-08-11,510300.SH,30400,3.67,111568.0,3.8230555297565787,0.11014050932164103
2023-08-14,510880.SH,44200,2.59,114478.0,2.5480949628687783,0.11325611354421641
2023-08-14,512880.SH,113600,1.017,115531.19999999998,0.8982957632196302,0.11429807216320667
2023-08-14,510300.SH,31400,3.643,114390.2,3.8174110702101904,0.11316925068175217
2023-08-15,510880.SH,44200,2.614,115538.79999999999,2.5480949628687783,0.11395681705364377
2023-08-15,512880.SH,113600,1.036,117689.6,0.8982957632196302,0.11607816782168862
2023-08-15,510300.SH,31400,3.639,114264.59999999999,3.8174110702101904,0.11270006368343609
2023-08-16,510880.SH,44200,2.613,115494.6,2.5480949628687783,0.11399856244047016
2023-08-16,512880.SH,113600,1.038,117916.8,0.8982957632196302,0.11638938692874326
2023-08-16,510300.SH,31400,3.609,113322.6,3.8174110702101904,0.11185469703359657
2023-08-17,510880.SH,44200,2.612,115450.40000000001,2.5480949628687783,0.1139140073833309
2023-08-17,512880.SH,113600,1.038,117916.8,0.8982957632196302,0.11634758498730843
2023-08-17,510300.SH,31400,3.622,113730.8,3.8174110702101904,0.11221729150277635
2023-08-18,510880.SH,44200,2.613,115494.6,2.5480949628687783,0.1143476584556483
2023-08-18,512880.SH,113600,1.021,115985.59999999999,0.8982957632196302,0.11483378248483861
2023-08-18,510300.SH,31400,3.572,112160.8,3.8174110702101904,0.11104696540368363
2023-08-21,510880.SH,43700,2.588,113095.6,2.5480949628687783,0.11273651983025457
2023-08-21,512880.SH,113100,0.985,111403.5,0.8982957632196302,0.1110497922722879
2023-08-21,510300.SH,32000,3.52,112640.0,3.8128305157687494,0.11228236636686019
2023-08-22,510880.SH,43700,2.606,113882.2,2.5480949628687783,0.11310666971786434
2023-08-22,512880.SH,113100,1.004,113552.4,0.8982957632196302,0.11277911563414492
2023-08-22,510300.SH,32000,3.543,113376.0,3.8128305157687494,0.11260391690652787
2023-08-23,510880.SH,43700,2.612,114144.40000000001,2.5480949628687783,0.11388188774881985
2023-08-23,512880.SH,113100,0.977,110498.7,0.8982957632196302,0.11024457222422229
2023-08-23,510300.SH,32000,3.488,111616.0,3.8128305157687494,0.11135930262870782
2023-08-24,510880.SH,43700,2.596,113445.2,2.5480949628687783,0.11298890252869785
2023-08-24,512880.SH,113100,0.992,112195.2,0.8982957632196302,0.11174393025873074
2023-08-24,510300.SH,32000,3.511,112352.0,3.8128305157687494,0.11190009958027541
2023-08-25,510880.SH,43700,2.599,113576.3,2.5480949628687783,0.11305352610086097
2023-08-25,512880.SH,113100,0.998,112873.8,0.8982957632196302,0.1123542595982028
2023-08-25,510300.SH,32000,3.504,112128.0,3.8128305157687494,0.11161189239865481
2023-08-28,510880.SH,42600,2.641,112506.6,2.5480949628687783,0.11116701854388977
2023-08-28,512880.SH,106100,1.023,108540.29999999999,0.8982957632196302,0.10724794405714294
2023-08-28,159928.SZ,120100,0.929,111572.90000000001,0.9707761454999998,0.11024443582239228
2023-08-29,510880.SH,42600,2.641,112506.6,2.5480949628687783,0.11109034585621914
2023-08-29,512880.SH,106100,1.016,107797.6,0.8982957632196302,0.10644062362981699
2023-08-29,159928.SZ,120100,0.941,113014.09999999999,0.9707761454999998,0.11159145735120726
2023-08-30,510880.SH,42600,2.611,111228.6,2.5480949628687783,0.11034216950714944
2023-08-30,512880.SH,106100,0.987,104720.7,0.8982957632196302,0.10388613387480686
2023-08-30,159928.SZ,120100,0.938,112653.79999999999,0.9707761454999998,0.11175601145051281
2023-08-31,510880.SH,42600,2.578,109822.79999999999,2.5480949628687783,0.10938403113292182
2023-08-31,512880.SH,106100,0.968,102704.8,0.8982957632196302,0.10229446927869723
2023-08-31,159928.SZ,120100,0.933,112053.3,0.9707761454999998,0.1116056197414984
2023-09-01,510880.SH,42600,2.606,111015.59999999999,2.5480949628687783,0.1102842752099404
2023-09-01,512880.SH,106100,0.969,102810.9,0.8982957632196302,0.10213362437514782
2023-09-01,159928.SZ,120100,0.944,113374.4,0.9707761454999998,0.11262753641255703
2023-09-04,510880.SH,43600,2.652,115627.20000000001,2.549797096747935,0.11430743853130435
2023-09-04,512880.SH,117300,0.976,114484.8,0.9055177261517713,0.11317807781187014
2023-09-04,159928.SZ,120300,0.962,115728.59999999999,0.9707822940527846,0.11440768115818688
2023-09-05,510880.SH,43600,2.628,114580.8,2.549797096747935,0.11363074266033417
2023-09-05,512880.SH,117300,0.967,113429.09999999999,0.9055177261517713,0.11248859208779577
2023-09-05,159928.SZ,120300,0.953,114645.9,0.9707822940527846,0.11369530287764097
2023-09-06,510880.SH,43600,2.625,114450.0,2.549797096747935,0.11359606225845718
2023-09-06,512880.SH,117300,0.964,113077.2,0.9055177261517713,0.11223350503461786
2023-09-06,159928.SZ,120300,0.95,114285.0,0.9707822940527846,0.11343229336136111
2023-09-07,510880.SH,43600,2.617,114101.2,2.549797096747935,0.11350431280916914
2023-09-07,512880.SH,117300,0.959,112490.7,0.9055177261517713,0.11190223767079052
2023-09-07,159928.SZ,120300,0.939,112961.7,0.9707822940527846,0.11237077377148989
2023-09-08,510880.SH,43600,2.598,113272.79999999999,2.549797096747935,0.11280188392686424
2023-09-08,512880.SH,117300,0.964,113077.2,0.9055177261517713,0.11260709710693842
2023-09-08,159928.SZ,120300,0.932,112119.6,0.9707822940527846,0.11165347819711749
2023-09-11,510880.SH,43700,2.619,114450.3,2.5500270793640722,0.11380070711835462
2023-09-11,512880.SH,118000,0.979,115522.0,0.9059098870983286,0.11486632440217773
2023-09-11,512660.SH,107000,1.054,112778.0,1.0638505594499998,0.1121378986983328
2023-09-12,510880.SH,43700,2.614,114231.79999999999,2.5500270793640722,0.1138277499517492
2023-09-12,512880.SH,118000,0.968,114224.0,0.9059098870983286,0.11381997754118031
2023-09-12,512660.SH,107000,1.048,112136.0,1.0638505594499998,0.11173936301966134
2023-09-13,510880.SH,43700,2.629,114887.3,2.5500270793640722,0.11476241988587092
2023-09-13,512880.SH,118000,0.957,112926.0,0.9059098870983286,0.11280325177832415
2023-09-13,512660.SH,107000,1.031,110316.99999999999,1.0638505594499998,0.11019708770725416
2023-09-14,510880.SH,43700,2.667,116547.9,2.5500270793640722,0.11619851869961406
2023-09-14,512880.SH,118000,0.961,113398.0,0.9059098870983286,0.11305806130782997
2023-09-14,512660.SH,107000,1.029,110102.99999999999,1.0638505594499998,0.10977293888936314
2023-09-15,510880.SH,43700,2.669,116635.3,2.5500270793640722,0.11631784973466863
2023-09-15,512880.SH,118000,0.957,112926.0,0.9059098870983286,0.11261864546271318
2023-09-15,512660.SH,107000,1.03,110210.0,1.0638505594499998,0.10991003769234382
2023-09-18,510880.SH,42500,2.671,113517.49999999999,2.5500270793640722,0.11319663819180634
2023-09-18,512880.SH,119200,0.955,113836.0,0.9064105476308959,0.11351423793866557
2023-09-18,159928.SZ,122300,0.935,114350.5,0.92774173905,0.11402728368359198
2023-09-19,510880.SH,42500,2.692,114410.0,2.5500270793640722,0.11399941373215719
2023-09-19,512880.SH,119200,0.956,113955.2,0.9064105476308959,0.11354624588524358
2023-09-19,159928.SZ,122300,0.933,114105.90000000001,0.92774173905,0.1136964050640692
2023-09-20,510880.SH,42500,2.7,114750.00000000001,2.5500270793640722,0.11438166217207922
2023-09-20,512880.SH,119200,0.952,113478.4,0.9064105476308959,0.11311414390089823
2023-09-20,159928.SZ,122300,0.931,113861.3,0.92774173905,0.11349581482417222
2023-09-21,510880.SH,42500,2.681,113942.5,2.5500270793640722,0.11399958501282036
2023-09-21,512880.SH,119200,0.945,112644.0,0.9064105476308959,0.112700434466368
2023-09-21,159928.SZ,122300,0.914,111782.2,0.92774173905,0.111838202705927
2023-09-22,510880.SH,42500,2.695,114537.5,2.5500270793640722,0.11388239692671132
