trade_date,signal_date,symbol,side,quantity,price,gross_amount,commission,stamp_duty,net_amount,realized_pnl
2023-07-10,2023-07-07,510880.SH,BUY,44500,2.5452719999999998,113264.60399999999,33.97938119999999,0.0,113298.58338119999,0.0
2023-07-10,2023-07-07,512100.SH,BUY,44300,2.555277,113198.7711,33.95963132999999,0.0,113232.73073133,0.0
2023-07-10,2023-07-07,512660.SH,BUY,102700,1.102551,113231.98770000001,33.96959631,0.0,113265.95729631,0.0
2023-07-17,2023-07-14,510880.SH,SELL,400,2.5657165,1026.2866000000001,5.0,0.0,1021.2866000000001,2.872367360000112
2023-07-17,2023-07-14,512100.SH,SELL,44300,2.5437275,112687.12825000001,33.806138475,0.0,112653.322111525,-579.4086198050063
2023-07-17,2023-07-14,510300.SH,BUY,30800,3.667833,112969.2564,33.89077691999999,0.0,113003.14717692,0.0
2023-07-17,2023-07-14,512660.SH,BUY,700,1.094547,766.1828999999999,5.0,0.0,771.1828999999999,0.0
2023-07-24,2023-07-21,510300.SH,SELL,30800,3.588205,110516.71399999999,33.1550142,0.0,110483.55898579999,-2519.588191120012
2023-07-24,2023-07-21,510880.SH,SELL,100,2.552723,255.27229999999997,5.0,0.0,250.27229999999997,-4.331258160000033
2023-07-24,2023-07-21,512660.SH,SELL,103400,1.0644675,110065.9395,33.019781849999994,0.0,110032.91971814999,-4004.220478160016
2023-07-24,2023-07-21,159928.SZ,BUY,118500,0.9494744999999999,112512.72824999999,33.753818474999996,0.0,112546.48206847499,0.0
2023-07-24,2023-07-21,512880.SH,BUY,125700,0.8954475,112557.75074999999,33.76732522499999,0.0,112591.51807522499,0.0
2023-07-31,2023-07-28,159928.SZ,SELL,118500,1.0004994999999999,118559.19074999998,35.567757224999994,0.0,118523.62299277498,5977.140924299994
2023-07-31,2023-07-28,510880.SH,SELL,1000,2.6836575000000003,2683.6575000000003,5.0,0.0,2678.6575000000003,132.62191840000014
2023-07-31,2023-07-28,512880.SH,SELL,13000,1.025487,13331.331,5.0,0.0,13326.331,1682.0212547500014
2023-07-31,2023-07-28,510300.SH,BUY,30200,3.8219099999999995,115421.68199999999,34.62650459999999,0.0,115456.30850459999,0.0
2023-08-07,2023-08-04,512880.SH,SELL,1700,1.0404795,1768.81515,5.0,0.0,1763.81515,241.09772177500008
2023-08-07,2023-08-04,510300.SH,BUY,200,3.7978979999999996,759.5795999999999,5.0,0.0,764.5795999999999,0.0
2023-08-07,2023-08-04,510880.SH,BUY,500,2.657328,1328.664,5.0,0.0,1333.664,0.0
2023-08-14,2023-08-11,510300.SH,BUY,1000,3.6408194999999997,3640.8194999999996,5.0,0.0,3645.8194999999996,0.0
