symbol,target_weight,rebalance_date,score,rank,volatility_20,hold_reason
512660.SH,0.09868355201224151,2023-07-07,0.01556263511079872,1,0.011365468561909517,risk_off_scaled
510880.SH,0.11178572203622557,2023-07-07,0.01432221588279532,2,0.010033345829346882,risk_off_scaled
512100.SH,0.12953072595153292,2023-07-07,-0.01982154335914781,3,0.008658832101291255,risk_off_scaled
510880.SH,0.11178572203622557,2023-07-21,0.024991245552524435,1,0.008752543754967007,risk_off_scaled
512880.SH,0.11530394923778435,2023-07-21,-0.013912072953699273,2,0.009331704548840272,risk_off_scaled
512660.SH,0.09868355201224151,2023-07-21,-0.024987381447997614,3,0.010573479653307998,risk_off_scaled
512880.SH,0.11530394923778435,2023-08-04,0.1482002754897845,1,0.02348666610477447,risk_off_scaled
510300.SH,0.12235504510768759,2023-08-04,0.034914207903856305,2,0.010557607947265396,risk_off_scaled
510880.SH,0.11178572203622557,2023-08-04,0.032011342337512794,3,0.007942330371503938,risk_off_scaled
512880.SH,0.11530394923778435,2023-08-18,0.12419337219696175,1,0.026863564473389098,risk_off_scaled
510880.SH,0.11178572203622557,2023-08-18,0.026820942325249186,2,0.008723684679045827,risk_off_scaled
510300.SH,0.12235504510768759,2023-08-18,-0.017369688534912053,3,0.012136363037362515,risk_off_scaled
512880.SH,0.11530394923778435,2023-09-01,0.017022630903185832,1,0.018959844266217024,risk_off_scaled
510880.SH,0.11178572203622557,2023-09-01,0.00012290752675734283,2,0.00827875092900958,risk_off_scaled
159928.SZ,0.12048651593467595,2023-09-01,-0.022671966331540873,3,0.010498750952675221,risk_off_scaled
510880.SH,0.11178572203622557,2023-09-15,0.05084561642030617,1,0.008932820816984302,risk_off_scaled
512880.SH,0.11530394923778435,2023-09-15,0.020982479256974607,2,0.015830117878660815,risk_off_scaled
159928.SZ,0.12048651593467595,2023-09-15,-0.02841649001973301,3,0.009438878102967558,risk_off_scaled
510880.SH,0.11178572203622557,2023-10-13,0.02234638863333749,1,0.006288091684512544,risk_off_scaled
512010.SH,0.08811490248261902,2023-10-13,0.009391315116814129,2,0.011600481535606895,risk_off_scaled
512880.SH,0.11530394923778435,2023-10-13,-0.0011906249586157503,3,0.01144297180364618,risk_off_scaled
512880.SH,0.11530394923778435,2023-10-27,0.0141377239174596,1,0.014316563585977138,risk_off_scaled
512010.SH,0.08811490248261902,2023-10-27,-0.017382117505636854,2,0.01413948272077773,risk_off_scaled
510880.SH,0.11178572203622557,2023-10-27,-0.015750952587737024,3,0.007361535492660539,risk_off_scaled
512010.SH,0.08811490248261902,2023-11-10,0.0068404819143177645,1,0.013916322292057482,risk_off_scaled
159995.SZ,0.09874922304796563,2023-11-10,-0.008263092357119506,2,0.01702094413591651,risk_off_scaled
512880.SH,0.11530394923778435,2023-11-10,-0.011836026288976908,3,0.01395190296393101,risk_off_scaled
512010.SH,0.08811490248261902,2023-11-24,0.023054405580329364,1,0.011196235043403219,risk_off_scaled
512100.SH,0.12331137858662493,2023-11-24,0.008864689831471772,2,0.009785570258849097,risk_off_scaled
512880.SH,0.11530394923778435,2023-11-24,0.003488888031923442,3,0.01107914778671641,risk_off_scaled
510880.SH,0.16019228853730724,2023-12-08,-0.012263274451082107,1,0.004721473464424504,risk_off_scaled
512010.SH,0.08811490248261902,2023-12-08,-0.01701459034792374,2,0.010819258823192996,risk_off_scaled
512880.SH,0.11530394923778435,2023-12-08,-0.026360926178444367,3,0.006882073092033071,risk_off_scaled
510880.SH,0.16019228853730724,2023-12-22,-0.03312900021001148,1,0.005331427124014071,risk_off_scaled
159995.SZ,0.07412639307482825,2023-12-22,-0.03863047079546325,2,0.011824189496545734,risk_off_scaled
512880.SH,0.11530394923778435,2023-12-22,-0.04502736083029363,3,0.00863752793925185,risk_off_scaled
510880.SH,0.16019228853730724,2024-01-05,0.016916123959883844,1,0.007162220683481176,risk_off_scaled
512880.SH,0.11530394923778435,2024-01-05,-0.05350991371320384,2,0.010373830173233456,risk_off_scaled
510500.SH,0.1143786871754318,2024-01-05,-0.06761095102264454,3,0.008357762977914362,risk_off_scaled
510880.SH,0.16019228853730724,2024-01-19,-0.013304716123436732,1,0.008768135431461955,risk_off_scaled
516160.SH,0.061285442156894146,2024-01-19,-0.05032025233445561,2,0.02193612342064482,risk_off_scaled
510300.SH,0.12539062329043593,2024-01-19,-0.07020963288679827,3,0.010721415906263855,risk_off_scaled
510880.SH,0.16019228853730724,2024-02-02,0.010280642838443122,1,0.01362301081608007,risk_off_scaled
510300.SH,0.12539062329043593,2024-02-02,-0.10946293065657932,2,0.011919501751700581,risk_off_scaled
512880.SH,0.09355038215992233,2024-02-02,-0.12011020042643002,3,0.016747507099682625,risk_off_scaled
510880.SH,0.16019228853730724,2024-03-01,0.08413183289808286,1,0.011979583884250493,risk_off_scaled
510300.SH,0.12539062329043593,2024-03-01,0.015441842297328635,2,0.011993836988748162,risk_off_scaled
510500.SH,0.056851209936904616,2024-03-01,-0.003964897665484491,3,0.029850036270077127,risk_off_scaled
510880.SH,0.16019228853730724,2024-03-15,0.05631580998731392,1,0.012294685973256083,risk_off_scaled
510300.SH,0.12539062329043593,2024-03-15,0.03861061021061923,2,0.008210535538091849,risk_off_scaled
159915.SZ,0.07903821983884858,2024-03-15,0.022067359188643026,3,0.01625414825762801,risk_off_scaled
510880.SH,0.16019228853730724,2024-03-29,0.04606727081660545,1,0.007637579201905709,risk_off_scaled
510300.SH,0.12539062329043593,2024-03-29,0.013918202315829633,2,0.006525528056576847,risk_off_scaled
159915.SZ,0.07903821983884858,2024-03-29,-0.017986894488904448,3,0.01618211965990952,risk_off_scaled
510880.SH,0.16019228853730724,2024-04-19,0.1365364304102222,1,0.006954793464366222,risk_off_scaled
510300.SH,0.12539062329043593,2024-04-19,0.028742996468929326,2,0.00926567583875009,risk_off_scaled
510500.SH,0.07256128494814064,2024-04-19,-0.003334663652489934,3,0.014642567554497745,risk_off_scaled
510880.SH,0.16019228853730724,2024-05-10,0.09049389588042622,1,0.011064450355700821,risk_off_scaled
510500.SH,0.07256128494814064,2024-05-10,0.08819932722592497,2,0.014440473762264145,risk_off_scaled
510300.SH,0.12539062329043593,2024-05-10,0.07765880437363672,3,0.009534501564277873,risk_off_scaled
510880.SH,0.4104181537319067,2024-05-24,0.05125478620253916,1,0.006746725515129529,keep_top_buy
510300.SH,0.3450488053347641,2024-05-24,0.031315059663573175,2,0.008024889774560916,keep_top_buy
510500.SH,0.23453304093332916,2024-05-24,0.012041768398954588,6,0.011806347705364666,keep_buffer
510880.SH,0.12107803659598639,2024-06-07,0.0497511167338629,1,0.008129676807742634,risk_off_scaled
510300.SH,0.16148130190550045,2024-06-07,0.007097835545235709,2,0.006095599270170831,risk_off_scaled
159995.SZ,0.057440661498513186,2024-06-07,0.0010523695233699108,3,0.017136385277646618,risk_off_scaled
510880.SH,0.12107803659598639,2024-06-21,0.04224298686915589,1,0.009242951888918112,risk_off_scaled
159995.SZ,0.057440661498513186,2024-06-21,0.03191970241029363,2,0.014150710415302414,risk_off_scaled
510300.SH,0.16148130190550045,2024-06-21,-0.009373375706361653,3,0.005176028476119581,risk_off_scaled
510880.SH,0.12107803659598639,2024-07-05,0.035616135395475146,1,0.009739074468410292,risk_off_scaled
510300.SH,0.16148130190550045,2024-07-05,-0.019894949275295296,2,0.004259721021310357,risk_off_scaled
512660.SH,0.06024251999540213,2024-07-05,-0.043742130905000384,3,0.01376216471971915,risk_off_scaled
159995.SZ,0.06329429658924254,2024-07-19,0.07869773891750334,1,0.019198670521736738,risk_off_scaled
510300.SH,0.16148130190550045,2024-07-19,0.044375588492629306,2,0.006072322648809308,risk_off_scaled
512660.SH,0.06024251999540213,2024-07-19,0.025520587639103365,3,0.01586583534166558,risk_off_scaled
159995.SZ,0.06329429658924254,2024-08-02,0.08680114358322744,1,0.020708510282738547,risk_off_scaled
512660.SH,0.06024251999540213,2024-08-02,0.0681058312649273,2,0.01437729968674563,risk_off_scaled
588080.SH,0.10621582915456493,2024-08-02,0.003556793530174216,3,0.01867757699298766,risk_off_scaled
159995.SZ,0.06329429658924254,2024-08-16,-0.002796041428059403,1,0.018819149980749676,risk_off_scaled
512660.SH,0.06024251999540213,2024-08-16,-0.014051102822610642,2,0.01688482760402199,risk_off_scaled
512880.SH,0.11916148636787287,2024-08-16,-0.03157906654319824,3,0.01649373211709746,risk_off_scaled
512880.SH,0.11916148636787287,2024-08-30,-0.022447483395688386,1,0.009465673439360247,risk_off_scaled
159995.SZ,0.06329429658924254,2024-08-30,-0.0375309065758731,2,0.015088876370396173,risk_off_scaled
510300.SH,0.16709051059215232,2024-08-30,-0.03914834187306178,3,0.006019265278853766,risk_off_scaled
512880.SH,0.11916148636787287,2024-09-13,-0.033539453099756235,1,0.01003229069130568,risk_off_scaled
510300.SH,0.16709051059215232,2024-09-13,-0.0779765932978119,2,0.006776754535765387,risk_off_scaled
512660.SH,0.08414905975457726,2024-09-13,-0.08163469885039229,3,0.01229749250719608,risk_off_scaled
512880.SH,0.11916148636787287,2024-09-27,0.25773088796105825,1,0.02443901905308657,risk_off_scaled
159915.SZ,0.10289687548070732,2024-09-27,0.15814368130574452,2,0.02862957526782173,risk_off_scaled
510500.SH,0.1165625318302202,2024-09-27,0.1321225977177479,3,0.02527307699260898,risk_off_scaled
512880.SH,0.46762343826933817,2024-10-18,0.45751259666143745,1,0.04287666666272529,keep_top_buy
588080.SH,0.27105738644295857,2024-10-18,0.41065733927033754,2,0.07397007161275523,new_buy
159915.SZ,0.10289687548070732,2024-10-18,0.3310800495133963,4,0.07977956422703944,keep_buffer
512880.SH,0.46762343826933817,2024-11-01,0.27038692945098225,2,0.039941261557506144,keep_top_buy
588080.SH,0.27105738644295857,2024-11-01,0.26084255071559614,3,0.07384189492803189,keep_top_buy
159915.SZ,0.10289687548070732,2024-11-01,0.17624376732855662,4,0.07737890334734084,keep_buffer
512880.SH,0.278382150917773,2024-11-15,0.2978255590826963,2,0.029414446977403443,keep_top_buy
588080.SH,0.27105738644295857,2024-11-15,0.2308176544688391,3,0.022952755676408917,keep_top_buy
159915.SZ,0.3548651727121936,2024-11-15,0.21831496437917308,4,0.02307483981886113,keep_buffer
512880.SH,0.278382150917773,2024-11-29,0.329939294980209,1,0.031425638770799666,keep_top_buy
588080.SH,0.27105738644295857,2024-11-29,0.3030210137214824,3,0.025590774738029266,keep_top_buy
159915.SZ,0.3548651727121936,2024-11-29,0.24022046729610966,4,0.025606773984547318,keep_buffer
512880.SH,0.278382150917773,2024-12-13,0.30258501779546304,1,0.018092335295473456,keep_top_buy
588080.SH,0.27105738644295857,2024-12-13,0.2663170696993964,2,0.017474008037906576,keep_top_buy
159915.SZ,0.3548651727121936,2024-12-13,0.22228705712717955,5,0.018146658577572358,keep_buffer
588080.SH,0.27105738644295857,2024-12-27,0.24731867938083757,2,0.011317762181930188,keep_top_buy
512880.SH,0.278382150917773,2024-12-27,0.19154949994473863,3,0.01187906670758283,keep_top_buy
159915.SZ,0.3548651727121936,2024-12-27,0.1277858574910234,4,0.010856313148699524,keep_buffer
159995.SZ,0.10228407221580549,2025-01-10,0.11287055534061219,1,0.021619791949105745,risk_off_scaled
588080.SH,0.11728813713815699,2025-01-10,0.056794910713145845,2,0.01885408375450791,risk_off_scaled
512880.SH,0.12042779064603755,2025-01-10,-0.007374646137553148,3,0.018362541977645943,risk_off_scaled
159995.SZ,0.10228407221580549,2025-01-24,0.06904068877190582,1,0.02101063110351269,risk_off_scaled
588080.SH,0.11728813713815699,2025-01-24,0.053466123904406485,2,0.019374877002893885,risk_off_scaled
159915.SZ,0.12133394419658382,2025-01-24,0.03803111451105527,3,0.01816567569112432,risk_off_scaled
159995.SZ,0.2935817584397184,2025-02-14,0.11564280098980793,1,0.01984731671473267,keep_top_buy
588080.SH,0.3639610981486455,2025-02-14,0.10841208063592638,2,0.016009431148164912,keep_top_buy
159915.SZ,0.33245714341163607,2025-02-14,0.08599079850321721,4,0.017526500052389284,keep_buffer
159995.SZ,0.2935817584397184,2025-02-28,0.2165944833018547,1,0.025682276832193325,keep_top_buy
588080.SH,0.3639610981486455,2025-02-28,0.1856173118541018,2,0.022930560683688733,keep_top_buy
159915.SZ,0.33245714341163607,2025-02-28,0.08890287951042991,5,0.017895472010192245,keep_buffer
159995.SZ,0.2935817584397184,2025-03-14,0.20471743545393575,1,0.02404402254772895,keep_top_buy
588080.SH,0.3639610981486455,2025-03-14,0.18537978882443473,2,0.022752756986802302,keep_top_buy
159915.SZ,0.33245714341163607,2025-03-14,0.08539927335398483,6,0.01573640227227412,keep_buffer
588080.SH,0.3639610981486455,2025-03-28,0.11593583475251328,1,0.013931885885063234,keep_top_buy
512100.SH,0.4135893232765091,2025-03-28,0.08013178696135222,2,0.010174432574369448,new_buy
159995.SZ,0.2935817584397184,2025-03-28,0.08134564233964614,7,0.015337249718029348,keep_buffer
159928.SZ,0.10938390558348383,2025-04-18,0.03151634538717696,1,0.013155772522028097,risk_off_scaled
515300.SH,0.1369934936843824,2025-04-18,0.02469874929451872,2,0.0105043658696863,risk_off_scaled
510880.SH,0.09362260073213378,2025-04-18,0.018697915706384727,3,0.015370538397502543,risk_off_scaled
512660.SH,0.04606524217152675,2025-05-09,0.02739919858342246,1,0.017708327801860466,risk_off_scaled
159928.SZ,0.10938390558348383,2025-05-09,0.005636371571999324,2,0.005361362558577098,risk_off_scaled
512010.SH,0.14178343440408267,2025-05-09,-0.0022478372170143812,3,0.005753411264680108,risk_off_scaled
510880.SH,0.10768479068674802,2025-05-23,0.027282030062380436,1,0.005559704848213268,risk_off_scaled
512010.SH,0.14178343440408267,2025-05-23,0.014836250705815936,2,0.005429201405313393,risk_off_scaled
159928.SZ,0.10938390558348383,2025-05-23,0.002354034660195436,3,0.004905653991549856,risk_off_scaled
515300.SH,0.13408109207103253,2025-06-06,0.0350383114153396,1,0.004645823775192057,risk_off_scaled
512010.SH,0.14178343440408267,2025-06-06,0.03415218804637142,2,0.007155568368425297,risk_off_scaled
510880.SH,0.10768479068674802,2025-06-06,0.027559029709312455,3,0.005240523963680647,risk_off_scaled
515300.SH,0.13408109207103253,2025-06-20,0.022983272680358668,1,0.0036326850655783497,risk_off_scaled
510880.SH,0.10768479068674802,2025-06-20,0.006931141579059964,2,0.003998787723291532,risk_off_scaled
512010.SH,0.14178343440408267,2025-06-20,-0.006954515491100866,3,0.009689926500972581,risk_off_scaled
512660.SH,0.21689313979711622,2025-07-04,0.1320108151190459,1,0.015352297717985528,new_buy
159915.SZ,0.27310686020288377,2025-07-04,0.11497323757831786,2,0.012192326669056782,new_buy
515300.SH,0.5,2025-07-04,0.05501094772439515,8,0.004863715791648557,keep_buffer
159915.SZ,0.27310686020288377,2025-07-18,0.14931571468297883,1,0.011963473730436115,keep_top_buy
512660.SH,0.21689313979711622,2025-07-18,0.13832516329874278,2,0.014368063100977312,keep_top_buy
512100.SH,0.45538892465348213,2025-07-18,0.1127511081958534,3,0.0076636349116942955,new_buy
159915.SZ,0.27310686020288377,2025-08-01,0.10839245236955648,2,0.01116871230404381,keep_top_buy
512660.SH,0.21689313979711622,2025-08-01,0.08077013264292318,4,0.010766827028825178,keep_buffer
512100.SH,0.45538892465348213,2025-08-01,0.0804656790596717,5,0.006614417879006553,keep_buffer
159915.SZ,0.27310686020288377,2025-08-15,0.16758368270962504,1,0.013491459383152576,keep_top_buy
512660.SH,0.21689313979711622,2025-08-15,0.14690402438724598,3,0.01387352953802414,keep_top_buy
512100.SH,0.45538892465348213,2025-08-15,0.13462288817900878,4,0.008572277841801083,keep_buffer
159915.SZ,0.27310686020288377,2025-08-29,0.3310601387817582,1,0.016559384991708177,keep_top_buy
512660.SH,0.21689313979711622,2025-08-29,0.1948064775708232,5,0.015349861476330882,keep_buffer
512100.SH,0.45538892465348213,2025-08-29,0.16633392380978404,8,0.010294307895429313,keep_buffer
159915.SZ,0.27310686020288377,2025-09-12,0.36371418656205756,1,0.027284812013186853,keep_top_buy
159995.SZ,0.28105484466200703,2025-09-12,0.31502519879018703,2,0.039196202679349985,new_buy
588080.SH,0.30519369646552413,2025-09-12,0.30563452597628266,3,0.03609603600259712,new_buy
159995.SZ,0.28105484466200703,2025-09-26,0.3844336965273203,1,0.030054207136153446,keep_top_buy
159915.SZ,0.27310686020288377,2025-09-26,0.37620120327268425,2,0.02583537779908986,keep_top_buy
588080.SH,0.30519369646552413,2025-09-26,0.3417643725688858,4,0.025481520049644296,keep_buffer
159995.SZ,0.28105484466200703,2025-10-17,0.25413105194024443,2,0.02723320070296572,keep_top_buy
588080.SH,0.30519369646552413,2025-10-17,0.2307861269183869,3,0.02330479116431293,keep_top_buy
159915.SZ,0.27310686020288377,2025-10-17,0.21480528787148484,4,0.02047876290546886,keep_buffer
159915.SZ,0.27310686020288377,2025-10-31,0.2666752147214846,2,0.023883920057764612,keep_top_buy
159995.SZ,0.28105484466200703,2025-10-31,0.21541191818731875,3,0.028345536763034918,keep_top_buy
588080.SH,0.30519369646552413,2025-10-31,0.20598210973894981,4,0.024491566958444556,keep_buffer
159915.SZ,0.27310686020288377,2025-11-14,0.23436057601096622,2,0.018820889946446418,keep_top_buy
159995.SZ,0.28105484466200703,2025-11-14,0.18152227955835493,3,0.022653496275824934,keep_top_buy
